"pubid","year","volfreq","volreasn","groupmeet","donate","donateamt"
77,2013,NA,NA,NA,NA,NA
78,2005,2,NA,1,0,NA
78,2007,2,1,2,0,NA
78,2011,2,3,2,0,NA
78,2013,1,NA,1,1,1
79,2005,NA,NA,NA,0,NA
79,2007,1,NA,1,0,NA
79,2011,NA,NA,NA,0,NA
79,2013,1,NA,1,0,NA
80,2005,1,NA,1,0,NA
80,2007,1,NA,1,0,NA
80,2011,1,NA,1,0,NA
80,2013,2,3,1,0,NA
81,2005,2,3,1,NA,NA
81,2007,2,NA,1,0,NA
81,2011,NA,NA,1,0,NA
81,2013,2,NA,1,0,NA
82,2005,1,NA,1,0,NA
82,2007,1,NA,1,0,NA
82,2011,1,NA,1,0,NA
82,2013,1,NA,1,0,NA
83,2005,2,3,NA,0,NA
83,2007,2,3,1,0,NA
83,2011,1,NA,1,0,NA
83,2013,1,NA,1,0,NA
84,2005,NA,NA,NA,NA,NA
84,2007,1,NA,1,0,NA
84,2011,2,3,2,1,1
84,2013,1,NA,1,0,NA
85,2005,1,NA,1,0,NA
85,2007,1,NA,1,0,NA
85,2011,1,NA,1,0,NA
85,2013,1,NA,1,0,NA
86,2005,NA,NA,NA,1,1
86,2007,1,NA,1,1,1
86,2011,1,NA,1,1,1
86,2013,4,3,2,1,2
87,2005,1,NA,1,1,1
87,2007,1,NA,1,0,NA
87,2011,NA,NA,NA,NA,NA
87,2013,NA,NA,NA,NA,NA
88,2005,NA,NA,NA,NA,NA
88,2007,NA,NA,NA,NA,NA
88,2011,1,NA,1,0,NA
88,2013,1,NA,1,0,NA
89,2005,2,3,1,1,1
89,2007,4,2,1,0,NA
89,2011,1,NA,1,0,NA
89,2013,1,NA,2,0,NA
90,2005,1,NA,1,1,1
90,2007,1,NA,1,0,NA
90,2011,1,NA,1,0,NA
90,2013,1,NA,1,0,NA
91,2005,1,NA,1,0,NA
91,2007,1,NA,1,0,NA
91,2011,1,NA,1,0,NA
91,2013,1,NA,1,0,NA
92,2005,1,NA,1,1,1
92,2007,1,NA,1,0,NA
92,2011,1,NA,1,0,NA
92,2013,1,NA,1,0,NA
93,2005,1,NA,1,0,NA
93,2007,1,NA,1,0,NA
93,2011,1,NA,1,0,NA
93,2013,NA,NA,NA,NA,NA
94,2005,1,NA,1,0,NA
94,2007,1,NA,1,0,NA
94,2011,1,NA,1,0,NA
94,2013,1,NA,1,0,NA
95,2005,NA,NA,NA,NA,NA
95,2007,2,3,1,0,NA
95,2011,NA,NA,NA,NA,NA
95,2013,NA,NA,NA,NA,NA
96,2005,NA,NA,NA,NA,NA
96,2007,NA,NA,NA,NA,NA
96,2011,NA,NA,NA,NA,NA
96,2013,NA,NA,NA,NA,NA
97,2005,1,NA,1,0,NA
97,2007,1,NA,1,0,NA
97,2011,2,3,1,0,NA
97,2013,1,NA,1,1,2
98,2005,2,3,1,0,NA
98,2007,NA,NA,NA,NA,NA
98,2011,NA,NA,NA,NA,NA
98,2013,NA,NA,NA,NA,NA
99,2005,NA,NA,NA,NA,NA
99,2007,NA,NA,NA,NA,NA
99,2011,NA,NA,NA,NA,NA
99,2013,NA,NA,NA,NA,NA
100,2005,1,NA,1,0,NA
100,2007,1,NA,1,0,NA
100,2011,1,NA,1,0,NA
100,2013,1,NA,1,1,1
101,2005,1,NA,1,0,NA
101,2007,NA,NA,NA,NA,NA
101,2011,NA,NA,1,NA,NA
101,2013,1,NA,1,0,NA
102,2005,NA,NA,NA,NA,NA
102,2007,1,NA,1,0,NA
102,2011,2,3,1,1,1
102,2013,NA,NA,NA,NA,NA
103,2005,NA,NA,NA,NA,NA
103,2007,NA,NA,NA,NA,NA
103,2011,NA,NA,NA,NA,NA
103,2013,NA,NA,NA,NA,NA
104,2005,2,3,1,0,NA
104,2007,1,NA,1,0,NA
104,2011,1,NA,1,0,NA
104,2013,2,3,1,0,NA
105,2005,1,NA,1,0,NA
105,2007,1,NA,1,0,NA
105,2011,1,NA,1,0,NA
105,2013,1,NA,1,0,NA
106,2005,NA,NA,NA,NA,NA
106,2007,NA,NA,NA,NA,NA
106,2011,NA,NA,NA,NA,NA
106,2013,NA,NA,NA,NA,NA
107,2005,2,3,3,1,1
107,2007,3,3,2,1,2
107,2011,4,3,1,0,NA
107,2013,2,3,1,1,3
108,2005,2,3,2,0,NA
108,2007,2,3,2,0,NA
108,2011,3,3,1,0,NA
108,2013,1,NA,1,1,2
109,2005,1,NA,1,1,1
109,2007,1,NA,1,0,NA
109,2011,1,NA,1,0,NA
109,2013,1,NA,1,0,NA
110,2005,1,NA,1,0,NA
110,2007,1,NA,1,0,NA
110,2011,1,NA,1,0,NA
110,2013,1,NA,1,1,1
111,2005,1,NA,1,0,NA
111,2007,1,NA,1,0,NA
111,2011,1,NA,1,0,NA
111,2013,1,NA,1,0,NA
112,2005,2,2,1,1,1
112,2007,NA,NA,NA,NA,NA
112,2011,NA,NA,NA,NA,NA
112,2013,NA,NA,NA,NA,NA
113,2005,2,3,1,1,1
113,2007,1,NA,1,0,NA
113,2011,1,NA,2,0,NA
113,2013,1,NA,2,0,NA
114,2005,1,NA,1,0,NA
114,2007,1,NA,1,0,NA
114,2011,1,NA,1,0,NA
114,2013,2,3,1,0,NA
115,2005,NA,NA,NA,NA,NA
115,2007,NA,NA,NA,NA,NA
115,2011,1,NA,1,1,3
115,2013,NA,NA,NA,NA,NA
116,2005,1,NA,1,0,NA
116,2007,1,NA,1,0,NA
116,2011,2,3,1,0,NA
116,2013,3,3,1,1,1
117,2005,1,NA,1,0,NA
117,2007,1,NA,1,1,1
117,2011,1,NA,1,0,NA
117,2013,2,3,1,0,NA
118,2005,1,NA,1,0,NA
118,2007,1,NA,1,0,NA
118,2011,NA,NA,NA,NA,NA
118,2013,NA,NA,NA,NA,NA
119,2005,NA,NA,NA,NA,NA
119,2007,1,NA,1,0,NA
119,2011,NA,NA,NA,NA,NA
119,2013,NA,NA,1,1,2
120,2005,NA,NA,NA,NA,NA
120,2007,NA,NA,NA,NA,NA
120,2011,NA,NA,NA,NA,NA
120,2013,4,NA,1,0,NA
121,2005,NA,NA,NA,NA,NA
121,2007,NA,NA,NA,NA,NA
121,2011,NA,NA,NA,NA,NA
121,2013,1,NA,1,0,NA
122,2005,1,NA,1,0,NA
122,2007,1,NA,1,0,NA
122,2011,1,NA,1,0,NA
122,2013,1,NA,1,0,NA
123,2005,NA,NA,NA,NA,NA
123,2007,NA,NA,NA,NA,NA
123,2011,NA,NA,NA,NA,NA
123,2013,NA,NA,NA,NA,NA
124,2005,NA,NA,NA,NA,NA
124,2007,NA,NA,NA,NA,NA
124,2011,NA,NA,NA,NA,NA
124,2013,NA,NA,NA,NA,NA
125,2005,2,2,1,0,NA
125,2007,NA,NA,NA,NA,NA
125,2011,NA,NA,NA,NA,NA
125,2013,NA,NA,NA,NA,NA
126,2005,1,NA,1,0,NA
126,2007,1,NA,1,0,NA
126,2011,1,NA,1,0,NA
126,2013,1,NA,1,0,NA
127,2005,1,NA,1,0,NA
127,2007,2,3,1,1,4
127,2011,NA,NA,NA,NA,NA
127,2013,2,3,1,1,4
128,2005,1,NA,1,0,NA
128,2007,NA,NA,NA,NA,NA
128,2011,3,3,4,1,2
128,2013,1,NA,1,1,1
129,2005,NA,NA,NA,NA,NA
129,2007,NA,NA,NA,NA,NA
129,2011,NA,NA,NA,NA,NA
129,2013,NA,NA,NA,NA,NA
130,2005,NA,NA,NA,NA,NA
130,2007,NA,NA,NA,NA,NA
130,2011,NA,NA,NA,NA,NA
130,2013,NA,NA,NA,NA,NA
131,2005,NA,NA,NA,NA,NA
131,2007,NA,NA,NA,NA,NA
131,2011,NA,NA,NA,NA,NA
131,2013,NA,NA,NA,NA,NA
132,2005,2,3,1,0,NA
132,2007,1,NA,1,1,1
132,2011,1,NA,1,0,NA
132,2013,NA,NA,NA,NA,NA
133,2005,NA,NA,NA,NA,NA
133,2007,3,3,1,0,NA
133,2011,3,3,1,0,NA
133,2013,1,NA,1,0,NA
134,2005,1,NA,1,0,NA
134,2007,NA,NA,NA,NA,NA
134,2011,NA,NA,NA,NA,NA
134,2013,NA,NA,NA,NA,NA
135,2005,1,NA,1,0,NA
135,2007,1,NA,1,0,NA
135,2011,1,NA,1,1,1
135,2013,NA,NA,NA,NA,NA
136,2005,4,3,2,1,2
136,2007,2,3,1,1,1
136,2011,NA,NA,NA,NA,NA
136,2013,NA,NA,NA,NA,NA
137,2005,3,3,2,1,3
137,2007,2,3,1,1,1
137,2011,2,3,1,1,3
137,2013,3,3,1,1,3
138,2005,1,NA,1,0,NA
138,2007,1,NA,1,0,NA
138,2011,1,NA,1,0,NA
138,2013,1,NA,2,1,1
139,2005,NA,NA,NA,NA,NA
139,2007,NA,NA,NA,NA,NA
139,2011,NA,NA,NA,NA,NA
139,2013,NA,NA,NA,NA,NA
140,2005,NA,NA,NA,NA,NA
140,2007,NA,NA,NA,NA,NA
140,2011,NA,NA,NA,NA,NA
140,2013,NA,NA,NA,NA,NA
141,2005,NA,NA,NA,NA,NA
141,2007,NA,NA,NA,NA,NA
141,2011,NA,NA,NA,NA,NA
141,2013,NA,NA,NA,NA,NA
142,2005,1,NA,1,1,1
142,2007,1,NA,1,0,NA
142,2011,2,3,2,1,1
142,2013,1,NA,2,1,2
143,2005,1,NA,1,0,NA
143,2007,NA,NA,NA,NA,NA
143,2011,1,NA,1,0,NA
143,2013,1,NA,1,0,NA
144,2005,1,NA,1,1,1
144,2007,1,NA,1,0,NA
144,2011,1,NA,1,0,NA
144,2013,2,3,1,0,NA
145,2005,1,NA,1,0,NA
145,2007,2,2,1,1,1
145,2011,1,NA,1,0,NA
145,2013,1,NA,1,0,NA
146,2005,2,3,1,0,NA
146,2007,1,NA,1,0,NA
146,2011,1,NA,1,0,NA
146,2013,1,NA,1,0,NA
147,2005,1,NA,1,1,1
147,2007,2,3,1,1,1
147,2011,1,NA,1,0,NA
147,2013,1,NA,1,0,NA
148,2005,1,NA,1,1,1
148,2007,1,NA,1,1,1
148,2011,2,NA,1,1,1
148,2013,1,NA,1,1,1
149,2005,1,NA,1,0,NA
149,2007,1,NA,1,0,NA
149,2011,1,NA,1,1,1
149,2013,1,NA,1,0,NA
150,2005,1,NA,3,0,NA
150,2007,1,NA,4,0,NA
150,2011,3,NA,3,0,NA
150,2013,4,3,4,0,NA
151,2005,1,NA,1,0,NA
151,2007,1,NA,1,0,NA
151,2011,2,3,2,1,1
151,2013,1,NA,1,0,NA
152,2005,1,NA,1,0,NA
152,2007,2,3,2,1,1
152,2011,2,3,2,1,1
152,2013,3,3,2,1,2
153,2005,1,NA,1,0,NA
153,2007,1,NA,2,0,NA
153,2011,1,NA,1,0,NA
153,2013,1,NA,1,0,NA
154,2005,NA,NA,NA,NA,NA
154,2007,NA,NA,NA,NA,NA
154,2011,NA,NA,NA,NA,NA
154,2013,NA,NA,NA,NA,NA
155,2005,1,NA,1,0,NA
155,2007,1,NA,1,0,NA
155,2011,1,NA,1,0,NA
155,2013,1,NA,1,0,NA
156,2005,1,NA,1,0,NA
156,2007,4,3,1,0,NA
156,2011,1,NA,1,0,NA
156,2013,1,NA,1,0,NA
157,2005,2,2,1,NA,NA
157,2007,1,NA,1,0,NA
157,2011,1,NA,1,0,NA
157,2013,1,NA,1,0,NA
158,2005,1,NA,1,0,NA
158,2007,1,NA,1,0,NA
158,2011,1,NA,1,0,NA
158,2013,1,NA,1,0,NA
159,2005,1,NA,1,0,NA
159,2007,1,NA,1,1,1
159,2011,1,NA,1,0,NA
159,2013,1,NA,1,0,NA
160,2005,NA,NA,NA,NA,NA
160,2007,1,NA,1,0,NA
160,2011,2,3,2,1,2
160,2013,4,3,1,0,NA
161,2005,1,NA,1,0,NA
161,2007,1,NA,1,0,NA
161,2011,1,NA,1,0,NA
161,2013,1,NA,1,1,1
162,2005,1,NA,1,1,1
162,2007,NA,NA,1,1,1
162,2011,2,3,1,1,1
162,2013,2,3,2,1,1
163,2005,NA,NA,NA,NA,NA
163,2007,1,NA,1,0,NA
163,2011,1,NA,1,0,NA
163,2013,1,NA,1,0,NA
164,2005,1,NA,1,1,1
164,2007,1,NA,1,1,1
164,2011,1,NA,1,1,1
164,2013,1,NA,1,1,1
165,2005,1,NA,1,0,NA
165,2007,1,NA,1,0,NA
165,2011,2,3,1,0,NA
165,2013,1,NA,1,0,NA
166,2005,4,3,2,1,1
166,2007,3,3,2,1,1
166,2011,2,3,1,1,2
166,2013,2,3,2,1,2
167,2005,1,NA,1,0,NA
167,2007,1,NA,2,0,NA
167,2011,1,NA,1,0,NA
167,2013,1,NA,1,0,NA
168,2005,2,NA,2,0,NA
168,2007,1,NA,1,0,NA
168,2011,1,NA,1,0,NA
168,2013,NA,NA,NA,NA,NA
169,2005,1,NA,1,0,NA
169,2007,1,NA,1,1,1
169,2011,2,1,2,0,NA
169,2013,2,3,2,1,1
170,2005,2,3,3,0,NA
170,2007,1,NA,2,0,NA
170,2011,2,3,2,0,NA
170,2013,NA,NA,NA,NA,NA
171,2005,1,NA,1,0,NA
171,2007,1,NA,1,0,NA
171,2011,3,3,1,0,NA
171,2013,1,NA,1,NA,NA
172,2005,NA,NA,NA,NA,NA
172,2007,NA,NA,NA,NA,NA
172,2011,NA,NA,NA,NA,NA
172,2013,NA,NA,NA,NA,NA
173,2005,NA,NA,NA,NA,NA
173,2007,NA,NA,NA,NA,NA
173,2011,NA,NA,NA,NA,NA
173,2013,NA,NA,NA,NA,NA
174,2005,NA,NA,NA,NA,NA
174,2007,NA,NA,NA,NA,NA
174,2011,NA,NA,NA,NA,NA
174,2013,NA,NA,NA,NA,NA
175,2005,NA,NA,NA,NA,NA
175,2007,4,3,1,1,2
175,2011,NA,NA,NA,NA,NA
175,2013,NA,NA,NA,NA,NA
176,2005,1,NA,1,0,NA
176,2007,1,NA,1,0,NA
176,2011,1,NA,1,0,NA
176,2013,1,NA,1,0,NA
177,2005,1,NA,1,1,1
177,2007,2,3,1,1,1
177,2011,1,NA,1,1,2
177,2013,2,3,1,0,NA
178,2005,2,3,1,0,NA
178,2007,2,2,1,1,1
178,2011,1,NA,1,1,1
178,2013,1,NA,1,0,NA
179,2005,NA,NA,NA,NA,NA
179,2007,NA,NA,NA,NA,NA
179,2011,NA,NA,NA,NA,NA
179,2013,NA,NA,NA,NA,NA
180,2005,2,3,2,0,NA
180,2007,2,3,1,0,NA
180,2011,2,3,1,0,NA
180,2013,2,3,2,0,NA
181,2005,3,3,2,1,1
181,2007,1,NA,1,0,NA
181,2011,1,NA,1,1,1
181,2013,2,3,2,1,1
182,2005,2,3,2,1,1
182,2007,2,3,1,1,2
182,2011,2,3,2,1,1
182,2013,2,3,2,1,1
183,2005,2,3,3,1,1
183,2007,2,3,2,0,NA
183,2011,3,3,2,1,1
183,2013,4,3,3,1,1
184,2005,1,NA,1,0,NA
184,2007,1,NA,1,0,NA
184,2011,NA,NA,NA,NA,NA
184,2013,NA,NA,NA,NA,NA
185,2005,2,NA,1,0,NA
185,2007,1,NA,1,0,NA
185,2011,1,NA,1,0,NA
185,2013,1,NA,1,0,NA
186,2005,NA,NA,NA,NA,NA
186,2007,NA,NA,NA,NA,NA
186,2011,NA,NA,NA,NA,NA
186,2013,NA,NA,NA,NA,NA
187,2005,2,2,2,0,NA
187,2007,1,NA,1,0,NA
187,2011,2,3,1,0,NA
187,2013,1,NA,1,0,NA
188,2005,1,NA,1,0,NA
188,2007,NA,NA,NA,NA,NA
188,2011,NA,NA,NA,NA,NA
188,2013,1,NA,1,0,NA
189,2005,NA,NA,NA,NA,NA
189,2007,NA,NA,NA,NA,NA
189,2011,NA,NA,NA,NA,NA
189,2013,NA,NA,NA,NA,NA
190,2005,NA,NA,NA,NA,NA
190,2007,NA,NA,NA,NA,NA
190,2011,1,NA,1,0,NA
190,2013,1,NA,1,0,NA
191,2005,1,NA,1,0,NA
191,2007,1,NA,1,0,NA
191,2011,1,NA,1,0,NA
191,2013,1,NA,1,0,NA
192,2005,1,NA,1,1,1
192,2007,2,3,2,1,1
192,2011,1,NA,2,1,1
192,2013,1,NA,1,NA,NA
193,2005,1,NA,1,0,NA
193,2007,1,NA,1,0,NA
193,2011,2,3,2,0,NA
193,2013,1,NA,1,0,NA
194,2005,1,NA,1,1,1
194,2007,1,NA,1,1,1
194,2011,1,NA,1,1,2
194,2013,2,3,1,1,1
195,2005,2,3,1,0,NA
195,2007,1,NA,1,0,NA
195,2011,1,NA,1,0,NA
195,2013,NA,NA,1,0,NA
196,2005,NA,NA,NA,NA,NA
196,2007,NA,NA,NA,NA,NA
196,2011,NA,NA,NA,NA,NA
196,2013,NA,NA,NA,NA,NA
197,2005,NA,NA,NA,NA,NA
197,2007,NA,NA,NA,NA,NA
197,2011,2,3,NA,1,1
197,2013,1,NA,1,0,NA
198,2005,NA,NA,NA,NA,NA
198,2007,1,NA,1,0,NA
198,2011,1,NA,1,1,1
198,2013,NA,NA,1,0,NA
199,2005,1,NA,1,0,NA
199,2007,1,NA,2,0,NA
199,2011,1,NA,1,1,1
199,2013,1,NA,1,0,NA
200,2005,1,NA,1,1,2
200,2007,3,3,1,0,NA
200,2011,1,NA,1,0,NA
200,2013,2,3,2,0,NA
201,2005,1,NA,1,0,NA
